iter	Passed	Remaining
785	75030	20428
786	75108	20327
787	75184	20227
788	75279	20131
789	75371	20035
790	75467	19940
791	75573	19847
792	75670	19752
793	75768	19657
794	75855	19560
795	75959	19466
796	76047	19369
797	76127	19270
798	76218	19173
799	76298	19074
800	76409	18983
801	76503	18887
802	76572	18785
803	76668	18690
804	76773	18597
805	76865	18501
806	76966	18407
807	77076	18315
808	77165	18218
809	77257	18122
810	77345	18025
811	77478	17938
812	77553	17838
813	77637	17740
814	77741	17646
815	77835	17551
816	77935	17456
817	78036	17362
818	78129	17266
819	78209	17167
820	78310	17073
821	78394	16976
822	78480	16878
823	78567	16781
824	78673	16688
825	78766	16592
826	78859	16496
827	78976	16405
828	79065	16309
829	79165	16214
830	79258	16118
831	79358	16024
832	79485	15935
833	79565	15836
834	79661	15741
835	79749	15644
836	79848	15549
837	79960	15457
838	80053	15361
839	80135	15263
840	80239	15170
841	80359	15079
842	80449	14982
843	80553	14889
844	80633	14790
845	80722	14694
846	80814	14598
847	80901	14501
848	81012	14408
849	81090	14310
850	81192	14215
851	81274	14118
852	81376	14023
853	81473	13928
854	81573	13834
855	81666	13738
856	81741	13639
857	81849	13546
858	81944	13450
859	82048	13356
860	82133	13259
861	82204	13160
862	82312	13066
863	82394	12969
864	82487	12873
865	82597	12780
866	82696	12685
867	82796	12591
868	82871	12492
869	82969	12397
870	83071	12303
871	83166	12207
872	83265	12113
873	83376	12020
874	83477	11925
875	83579	11830
876	83668	11734
877	83764	11639
878	83866	11544
879	83957	11448
880	84055	11353
881	84146	11257
882	84238	11161
883	84332	11066
884	84431	10971
885	84526	10875
886	84627	10781
887	84731	10686
888	84829	10591
889	84905	10493
890	84975	10395
891	85073	10300
892	85155	10203
893	85255	10108
894	85369	10015
895	85452	9918
896	85554	9824
897	85636	9727
898	85730	9631
899	85824	9536
900	85908	9439
901	86012	9345
902	86119	9250
903	86220	9156
904	86304	9059
905	86394	8963
906	86471	8866
907	86554	8769
908	86653	8674
909	86748	8579
910	86856	8485
911	86949	8389
912	87041	8294
913	87158	8200
914	87246	8104
915	87355	8010
916	87443	7914
917	87535	7819
